Date,Open,High,Low,Close,Adj Close,Volume,Type of industry
17-04-2012,266,267.950012,260.549988,265.125,248.193161,7832904,
18-04-2012,266.5,269.950012,266.5,268.825012,251.65686,6000142,
19-04-2012,270,277.799988,268.600006,277.024994,259.333221,8183338,
20-04-2012,276.125,279,273.225006,275.549988,257.952362,7862550,
23-04-2012,275.975006,278,271.649994,272.674988,255.261002,4218824,
24-04-2012,273.049988,273.25,269.700012,270.924988,253.622726,4380390,
25-04-2012,272,274.75,269,273.325012,255.869537,5389194,
26-04-2012,272.5,274.975006,269.5,270.25,252.990875,4669476,
27-04-2012,271,273,267.100006,270.575012,253.295105,2274510,
30-04-2012,271.899994,274.5,270.174988,271.25,253.927032,3019510,
02-05-2012,270.350006,275.5,270.350006,274.950012,257.390747,4489174,
03-05-2012,272.75,279,272.725006,277.024994,259.333221,6857274,
04-05-2012,275.600006,276.850006,267.325012,268.75,251.586639,6175944,
07-05-2012,265.950012,267.274994,258.200012,266.125,249.129272,8356344,
08-05-2012,266.450012,268.200012,256.625,257.674988,241.218948,5641540,
09-05-2012,256.850006,261.299988,252.699997,256.325012,239.955185,7511996,
10-05-2012,255.524994,261.450012,255,258.75,242.225296,6042190,
11-05-2012,256.625,260,254.100006,255.274994,238.972229,4025042,
14-05-2012,255.375,255.899994,247.024994,250.274994,234.29155,5517424,
15-05-2012,248,252.225006,248,249.550003,233.612839,4009732,
16-05-2012,247,249.350006,243,247.600006,231.787384,8480436,
17-05-2012,248.5,253.25,247.5,248.899994,233.004379,5809260,
18-05-2012,244.899994,251.949997,244.5,250.274994,234.29155,4807208,
21-05-2012,250.125,253.925003,246.975006,248.725006,232.840546,4271170,
22-05-2012,251.899994,252.5,243.475006,244.625,229.00238,5548406,
23-05-2012,245,246.449997,241.100006,243.600006,228.042831,6347944,
24-05-2012,246.5,251.350006,242.5,249.850006,233.893707,5769622,
25-05-2012,249.899994,251.574997,247.800003,250,234.034103,5597286,
28-05-2012,250.600006,255.300003,250,254.375,238.129715,6103426,
29-05-2012,255.074997,255.975006,251.050003,252.475006,236.351059,5286512,
30-05-2012,250.024994,252.699997,248.274994,250.324997,234.338333,5083640,
31-05-2012,248,254.449997,247.675003,253.100006,236.936111,9519560,
01-06-2012,252,253.574997,245,245.199997,229.540634,5854374,
04-06-2012,244,249.25,242.524994,247.824997,231.998016,5680484,
05-06-2012,250,252.449997,249.225006,250.75,234.736237,5355356,
06-06-2012,252.425003,261.5,251.75,259.950012,243.348679,12545846,
07-06-2012,262.100006,269.75,261.5,268.899994,251.727081,9900246,
08-06-2012,270.450012,271.375,265.475006,269.549988,252.33551,9661372,
11-06-2012,270.549988,274.450012,269.200012,270.975006,253.66954,6535942,
12-06-2012,269.399994,275.424988,268.975006,274.799988,257.250275,5626920,
13-06-2012,275.5,276.200012,269.899994,270.875,253.575974,4032366,
14-06-2012,270,273.700012,266.325012,267.200012,250.135666,4321276,
15-06-2012,267.5,274.850006,267.475006,273.774994,256.290741,4966112,
18-06-2012,276,276,264.774994,267.475006,250.393112,5618732,
19-06-2012,267.399994,269.5,263.149994,268.225006,251.095215,5930368,
20-06-2012,268.5,270.25,264.274994,267.100006,250.042068,4767236,
